"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 02:00:05 MSK 2019","Sun Apr 14 02:00:05 MSK 2019","700","tests","test_del_contact","","","","test_cancel_del_some_contact",""
"passed","Sun Apr 14 01:59:05 MSK 2019","Sun Apr 14 01:59:16 MSK 2019","11457","tests","test_add_contact","","","","test_add_contact_into_group",""
"passed","Sun Apr 14 02:01:17 MSK 2019","Sun Apr 14 02:01:22 MSK 2019","5763","tests","test_del_contact","","","","test_del_first_contact_using_edit",""
"passed","Sun Apr 14 02:03:31 MSK 2019","Sun Apr 14 02:03:34 MSK 2019","2093","tests","test_edit_group","","","","test_clear_first_group_params",""
"passed","Sun Apr 14 01:59:28 MSK 2019","Sun Apr 14 01:59:30 MSK 2019","2044","tests","test_add_group","","","","test_add_group_using_json[None:name5AFT u7J:header_groupMDC6qtg:footergr vEEiNS]",""
"passed","Sun Apr 14 02:02:56 MSK 2019","Sun Apr 14 02:02:59 MSK 2019","2873","tests","test_edit_contact","","","","test_add_all_contacts_to_group",""
"passed","Sun Apr 14 02:03:39 MSK 2019","Sun Apr 14 02:03:41 MSK 2019","2482","tests","test_edit_group","","","","test_update_all_groups",""
"failed","Sun Apr 14 01:59:41 MSK 2019","Sun Apr 14 01:59:47 MSK 2019","6476","tests","test_check_contact_info","","","","test_info_on_homepage",""
"passed","Sun Apr 14 01:59:17 MSK 2019","Sun Apr 14 01:59:18 MSK 2019","1586","tests","test_add_contact","","","","test_add_empty_contact",""
"passed","Sun Apr 14 02:02:27 MSK 2019","Sun Apr 14 02:02:33 MSK 2019","5584","tests","test_edit_contact","","","","test_edit_first_contact_in_group",""
"passed","Sun Apr 14 02:01:01 MSK 2019","Sun Apr 14 02:01:16 MSK 2019","15846","tests","test_del_contact","","","","test_del_some_contact_from_group",""
"passed","Sun Apr 14 01:57:27 MSK 2019","Sun Apr 14 01:57:29 MSK 2019","2719","tests","test_add_contact","","","","test_add_contact_using_json[None:  ]",""
"passed","Sun Apr 14 02:03:48 MSK 2019","Sun Apr 14 02:03:49 MSK 2019","1339","tests","test_edit_group","","","","test_edit_some_group_name",""
"passed","Sun Apr 14 01:59:30 MSK 2019","Sun Apr 14 01:59:32 MSK 2019","2041","tests","test_add_group","","","","test_add_group_using_json[None:nameM t9G:header_groupcB9L IvlsuBvpcf6T3W:footerCAOg5]",""
"passed","Sun Apr 14 01:58:04 MSK 2019","Sun Apr 14 01:58:10 MSK 2019","6575","tests","test_add_contact","","","","test_add_contact_using_json[None: last_name first_name2l4Uh ]",""
"passed","Sun Apr 14 02:01:46 MSK 2019","Sun Apr 14 02:01:51 MSK 2019","5046","tests","test_del_group","","","","test_del_all_group",""
"passed","Sun Apr 14 02:02:46 MSK 2019","Sun Apr 14 02:02:56 MSK 2019","9675","tests","test_edit_contact","","","","test_edit_some_contact_from_details",""
"passed","Sun Apr 14 01:57:30 MSK 2019","Sun Apr 14 01:57:35 MSK 2019","5479","tests","test_add_contact","","","","test_add_contact_using_json[None: last_nameMz9h first_namej8iBpy]",""
"passed","Sun Apr 14 02:03:04 MSK 2019","Sun Apr 14 02:03:07 MSK 2019","3200","tests","test_edit_contact","","","","test_add_all_contacts_to_group_from_another_group",""
"passed","Sun Apr 14 02:00:12 MSK 2019","Sun Apr 14 02:00:25 MSK 2019","13380","tests","test_del_contact","","","","test_del_all_contacts_click",""
"passed","Sun Apr 14 01:57:47 MSK 2019","Sun Apr 14 01:57:52 MSK 2019","4853","tests","test_add_contact","","","","test_add_contact_using_json[None: last_nameVMbIjPi first_namekOk1pD]",""
"passed","Sun Apr 14 01:59:35 MSK 2019","Sun Apr 14 01:59:36 MSK 2019","1550","tests","test_add_group","","","","test_add_group_using_module[None:name:None:ftr]",""
"passed","Sun Apr 14 01:59:19 MSK 2019","Sun Apr 14 01:59:21 MSK 2019","2028","tests","test_add_group","test_add_group_using_json[None","","","test_add_group_using_json[None:::]",""
"passed","Sun Apr 14 01:59:50 MSK 2019","Sun Apr 14 01:59:50 MSK 2019","103","tests","test_check_match_db_and_web","","","","test_contact_list",""
"passed","Sun Apr 14 02:03:02 MSK 2019","Sun Apr 14 02:03:04 MSK 2019","1533","tests","test_edit_contact","","","","test_add_to_group_without_select_contact",""
"passed","Sun Apr 14 02:01:58 MSK 2019","Sun Apr 14 02:01:58 MSK 2019","852","tests","test_del_group","","","","test_del_some_group",""
"passed","Sun Apr 14 02:02:36 MSK 2019","Sun Apr 14 02:02:46 MSK 2019","9914","tests","test_edit_contact","","","","test_edit_first_contact_from_details",""
"passed","Sun Apr 14 01:58:44 MSK 2019","Sun Apr 14 01:58:56 MSK 2019","11980","tests","test_add_contact","","","","test_add_contact_using_module[None: last_name first_name ]",""
"passed","Sun Apr 14 01:59:21 MSK 2019","Sun Apr 14 01:59:23 MSK 2019","1983","tests","test_add_group","","","","test_add_group_using_json[None:namefu5:header_groupMX 2J:footernpPSYtyTlLgnh]",""
"passed","Sun Apr 14 01:59:32 MSK 2019","Sun Apr 14 01:59:34 MSK 2019","1973","tests","test_add_group","","","","test_add_group_using_module[None:gr_name:gr_header:gr_footer]",""
"passed","Sun Apr 14 01:58:57 MSK 2019","Sun Apr 14 01:59:00 MSK 2019","2285","tests","test_add_contact","","","","test_add_contact_using_module[None: None test]",""
"passed","Sun Apr 14 01:57:58 MSK 2019","Sun Apr 14 01:58:03 MSK 2019","4918","tests","test_add_contact","","","","test_add_contact_using_json[None: last_namems first_namexUV]",""
"passed","Sun Apr 14 02:02:33 MSK 2019","Sun Apr 14 02:02:36 MSK 2019","3068","tests","test_edit_contact","","","","test_edit_some_contact_in_group",""
"passed","Sun Apr 14 01:57:53 MSK 2019","Sun Apr 14 01:57:58 MSK 2019","5239","tests","test_add_contact","","","","test_add_contact_using_json[None: last_nameu2AR  first_name 9 MBo ]",""
"passed","Sun Apr 14 02:01:45 MSK 2019","Sun Apr 14 02:01:46 MSK 2019","1163","tests","test_del_group","","","","test_del_first_group",""
"passed","Sun Apr 14 02:03:09 MSK 2019","Sun Apr 14 02:03:11 MSK 2019","1468","tests","test_edit_contact","","","","test_remove_all_contacts_from_group",""
"passed","Sun Apr 14 02:00:46 MSK 2019","Sun Apr 14 02:01:00 MSK 2019","14735","tests","test_del_contact","","","","test_del_first_contact_from_group",""
"passed","Sun Apr 14 02:02:22 MSK 2019","Sun Apr 14 02:02:24 MSK 2019","1791","tests","test_edit_contact","","","","test_edit_first_contact_without_change",""
"passed","Sun Apr 14 01:59:26 MSK 2019","Sun Apr 14 01:59:28 MSK 2019","2197","tests","test_add_group","","","","test_add_group_using_json[None:name bz560:header_groupZ ddFPX M VW5 Wu :footer2  0o5zT2v 6Pckj]",""
"passed","Sun Apr 14 02:03:27 MSK 2019","Sun Apr 14 02:03:29 MSK 2019","2497","tests","test_edit_group","","","","test_edit_first_group",""
"passed","Sun Apr 14 02:03:41 MSK 2019","Sun Apr 14 02:03:42 MSK 2019","1211","tests","test_edit_group","","","","test_update_all_groups_without_changes",""
"passed","Sun Apr 14 01:59:40 MSK 2019","Sun Apr 14 01:59:40 MSK 2019","851","tests","test_add_group","","","","test_add_empty_v2",""
"passed","Sun Apr 14 01:58:26 MSK 2019","Sun Apr 14 01:58:31 MSK 2019","5531","tests","test_add_contact","","","","test_add_contact_using_json[None: last_nametR ]",""
"passed","Sun Apr 14 02:03:46 MSK 2019","Sun Apr 14 02:03:48 MSK 2019","1526","tests","test_edit_group","","","","test_edit_first_group_name",""
"passed","Sun Apr 14 02:03:11 MSK 2019","Sun Apr 14 02:03:20 MSK 2019","9245","tests","test_edit_contact","","","","test_remove_some_contact_from_group",""
"passed","Sun Apr 14 01:58:11 MSK 2019","Sun Apr 14 01:58:18 MSK 2019","6840","tests","test_add_contact","","","","test_add_contact_using_json[None: last_namehX1 first_namewq OmB8N]",""
